county,county_fips,zip_code,date,n95,surgical_masks,cloth_masks,eye_protection,face_shields,gloves,gowns,county_n95,county_surgical_masks,county_cloth_masks,county_eye_protection,county_face_shields,county_gloves,county_gowns
Alameda,06001,91011,2020-06-14,0,2000,2000,0,200,0,0,24600,504000,119000,0,104000,210000,45300
Alameda,06001,91011,2020-06-15,0,2000,2000,0,200,0,0,24600,504000,119000,0,104000,210000,45300
Alameda,06001,91011,2020-06-16,0,2000,2160,0,200,0,0,24600,504000,119160,0,104000,210000,45300
Alameda,06001,91011,2020-06-17,0,2000,2160,0,200,0,0,24600,510000,118800,0,104000,210000,45300
Alameda,06001,91011,2020-06-18,0,2000,2160,0,200,0,0,29640,512000,118800,0,104000,220000,45300
Alameda,06001,91011,2020-06-19,0,2000,2160,0,200,0,0,130900,512000,118800,0,104000,220000,45300
Alameda,06001,91011,2020-06-20,0,2000,2160,0,200,0,0,130900,512000,118800,0,104000,220000,45300
Alameda,06001,91011,2020-06-21,0,2000,2160,0,200,0,0,130900,512000,118800,0,104000,220000,45300
Alameda,06001,91011,2020-06-22,0,2000,2160,0,200,0,0,130900,512000,118800,0,104000,220000,45300
Alameda,06001,91011,2020-06-23,0,2000,2160,0,200,0,0,134680,512000,126800,0,104000,223000,45300
Alameda,06001,91011,2020-06-24,0,2000,2160,0,200,0,0,134680,758000,297300,0,114000,223000,45300
Alameda,06001,91011,2020-06-25,0,2000,2160,0,200,0,0,134680,558000,177300,0,114152,223000,45300
Alameda,06001,91011,2020-06-26,0,2000,2160,0,200,0,0,140980,600000,177300,0,119152,223000,45300
Alameda,06001,91011,2020-06-27,0,2000,2160,0,200,0,0,140980,660000,177300,0,119152,223000,45300
Alameda,06001,91011,2020-06-28,0,2000,2160,0,200,0,0,140980,660000,177300,0,119152,223000,45300
Alameda,06001,91011,2020-06-29,0,2000,2160,0,200,0,0,140980,660000,177300,0,119152,223000,45300
Alameda,06001,91011,2020-06-30,0,2000,2160,0,200,0,0,140980,660000,177300,0,119152,223000,45300
Alameda,06001,91011,2020-07-01,0,2000,2160,0,200,0,0,140980,660000,177300,0,119152,223000,45300
Alameda,06001,91011,2020-07-02,0,2000,2160,0,200,0,0,140980,798000,177300,0,119552,223000,45300
Alameda,06001,91011,2020-07-03,0,2000,2160,0,200,0,0,140980,704000,177300,0,119752,223000,45300
Alameda,06001,91011,2020-07-04,0,2000,2160,0,200,0,0,140980,704000,177300,0,119752,903000,45300
Alameda,06001,91011,2020-07-05,0,2000,2160,0,200,0,0,140980,704000,177300,0,119752,903000,45300
Alameda,06001,91011,2020-07-06,0,2000,2160,0,200,0,0,140980,704000,177300,0,119752,903000,45300
Alameda,06001,91302,2020-06-15,0,0,0,0,0,0,0,24600,504000,119000,0,104000,210000,45300
Alameda,06001,91302,2020-06-16,0,0,0,0,0,0,0,24600,504000,119160,0,104000,210000,45300
Alameda,06001,91302,2020-06-17,0,0,0,0,0,0,0,24600,510000,118800,0,104000,210000,45300
Alameda,06001,91302,2020-06-18,0,0,0,0,0,0,0,29640,512000,118800,0,104000,220000,45300
Alameda,06001,91302,2020-06-19,0,0,0,0,0,0,0,130900,512000,118800,0,104000,220000,45300
Alameda,06001,91302,2020-06-20,0,0,0,0,0,0,0,130900,512000,118800,0,104000,220000,45300
Alameda,06001,91302,2020-06-21,0,0,0,0,0,0,0,130900,512000,118800,0,104000,220000,45300
Alameda,06001,91302,2020-06-22,0,0,0,0,0,0,0,130900,512000,118800,0,104000,220000,45300
Alameda,06001,91302,2020-06-23,0,0,0,0,0,0,0,134680,512000,126800,0,104000,223000,45300
Alameda,06001,91302,2020-06-24,0,0,0,0,0,0,0,134680,758000,297300,0,114000,223000,45300
Alameda,06001,91302,2020-06-25,0,0,0,0,0,0,0,134680,558000,177300,0,114152,223000,45300
Alameda,06001,91302,2020-06-26,0,0,0,0,0,0,0,140980,600000,177300,0,119152,223000,45300
Alameda,06001,91302,2020-06-27,0,0,0,0,0,0,0,140980,660000,177300,0,119152,223000,45300
Alameda,06001,91302,2020-06-28,0,0,0,0,0,0,0,140980,660000,177300,0,119152,223000,45300
Alameda,06001,91302,2020-06-29,0,0,0,0,0,0,0,140980,660000,177300,0,119152,223000,45300
Alameda,06001,91302,2020-06-30,0,0,0,0,0,0,0,140980,660000,177300,0,119152,223000,45300
Alameda,06001,91302,2020-07-01,0,0,0,0,0,0,0,140980,660000,177300,0,119152,223000,45300
Alameda,06001,91302,2020-07-02,0,0,0,0,0,0,0,140980,798000,177300,0,119552,223000,45300
Alameda,06001,91302,2020-07-03,0,0,0,0,0,0,0,140980,704000,177300,0,119752,223000,45300
Alameda,06001,91302,2020-07-04,0,0,0,0,0,0,0,140980,704000,177300,0,119752,903000,45300
Alameda,06001,91302,2020-07-05,0,0,0,0,0,0,0,140980,704000,177300,0,119752,903000,45300
Alameda,06001,91302,2020-07-06,0,0,0,0,0,0,0,140980,704000,177300,0,119752,903000,45300
Alameda,06001,91766,2020-06-08,0,0,0,0,0,0,0,24000,72000,2000,0,100400,70000,30300
Alameda,06001,91766,2020-06-09,0,0,0,0,0,0,0,24000,72000,2000,0,100400,70000,30300
Alameda,06001,91766,2020-06-10,0,0,0,0,0,0,0,24000,72000,2000,0,100400,70000,30300
Alameda,06001,91766,2020-06-11,0,0,0,0,0,0,0,24000,72000,2000,0,100400,70000,30300
Alameda,06001,91766,2020-06-12,0,0,0,0,0,0,0,24000,220000,114000,0,103800,70000,30300
Alameda,06001,91766,2020-06-13,0,0,0,0,0,0,0,24000,502000,117000,0,103800,70000,30300
Alameda,06001,91766,2020-06-14,0,0,0,0,0,0,0,24600,504000,119000,0,104000,210000,45300
Alameda,06001,91766,2020-06-15,0,0,0,0,0,0,0,24600,504000,119000,0,104000,210000,45300
Alameda,06001,91766,2020-06-16,0,0,0,0,0,0,0,24600,504000,119160,0,104000,210000,45300
