Unnamed: 0,city_cases,city_deaths,date,city_new_cases,city_new_deaths
2020-05-01,11553,558,2020-05-01,690,
2020-05-02,11908,594,2020-05-02,355,36
2020-05-03,12300,605,2020-05-03,392,11
2020-05-04,12525,636,2020-05-04,225,31
2020-05-05,13468,664,2020-05-05,943,28
2020-05-06,13868,664,2020-05-06,400,0
2020-05-07,14253,718,2020-05-07,385,54
2020-05-08,14563,718,2020-05-08,310,0
2020-05-09,15015,744,2020-05-09,452,26
2020-05-10,15223,758,2020-05-10,208,14
2020-05-11,15568,781,2020-05-11,345,23
2020-05-12,16065,808,2020-05-12,497,27
2020-05-13,16610,835,2020-05-13,545,27
2020-05-14,17037,835,2020-05-14,427,0
2020-05-15,17432,835,2020-05-15,395,0
2020-05-16,17969,879,2020-05-16,537,44
2020-05-17,18304,890,2020-05-17,335,11
2020-05-18,18540,929,2020-05-18,236,39
2020-05-19,19020,958,2020-05-19,480,29
2020-05-20,19505,984,2020-05-20,485,26
2020-05-21,19941,1001,2020-05-21,436,17
2020-05-22,20391,1027,2020-05-22,450,26
2020-05-23,20919,1033,2020-05-23,528,6
2020-05-24,21336,1036,2020-05-24,417,3
2020-05-25,21819,1051,2020-05-25,483,15
2020-05-26,22567,1070,2020-05-26,748,19
2020-05-27,23086,1089,2020-05-27,519,19
2020-05-28,23644,1112,2020-05-28,558,23
2020-05-29,24261,1127,2020-05-29,617,15
2020-05-30,25073,1140,2020-05-30,812,13
2020-05-31,25722,1158,2020-05-31,649,18
2020-06-01,26145,1190,2020-06-01,423,32
2020-06-02,26738,1212,2020-06-02,593,22
2020-06-03,27166,1230,2020-06-03,428,18
2020-06-04,27673,1243,2020-06-04,507,13
2020-06-05,28297,1272,2020-06-05,624,29
2020-06-06,28909,1284,2020-06-06,612,12
2020-06-07,29654,1284,2020-06-07,745,0
2020-06-08,30063,1289,2020-06-08,409,5
2020-06-09,30500,1321,2020-06-09,437,32
2020-06-10,30887,1354,2020-06-10,387,33
2020-06-11,31656,1375,2020-06-11,769,21
2020-06-12,32207,1383,2020-06-12,551,8
