region_num,population,aggregate_region,neighborhood,Region,in_two_aggregate_regions
8,28809,Acton,Unincorporated - Acton,Acton,
121,35410,University Park,Los Angeles - Adams-Normandie,Adams,
168,29523,Agoura Hills,Agoura HiIIs,Agoura Hills,
1,25745,Canyon Country,Unincorporated - Agua Dulce,Agua Dulce,
32,86706,Alhambra,Alhambra,Alhambra,
13,53439,Altadena,Unincorporated - AItadena,Altadena,
8,28809,Acton,Unincorporated - Anaverde,Anaverde,
8,28809,Acton,Unincorporated - Angeles National Forest,,Angeles National Forest
119,30710,Echo Park,Los Angeles - Angelino Heights,Angelino Heights,
14,56993,Arcadia,Arcadia,Arcadia,
16,39704,Duarte,Unincorporated - Arcadia,,Arcadia
149,35111,Arleta,Los Angeles - Arleta,Arleta,
60,66654,Cerritos,Artesia,Artesia,
75,41642,Athens - Westmont,Unincorporated - Athens-Westmont,Athens,
64,43095,Willowbrook,Unincorporated - Athens ViIIage,Athens Village,
134,53290,Los Feliz,Los Angeles - Atwater ViIIage,Atwater Village,
170,4034,Avalon,AvaIon,Avalon,
37,39491,Bassett,Unincorporated - Avocado Heights,Avocado Heights,
17,65527,Azusa,Azusa,Azusa,
17,65527,Azusa,Unincorporated - Azusa,Azusa,
104,29994,Baldwin Hills,Los Angeles - Baldwin Hills,Baldwin Hills,
26,75833,Baldwin Park,Baldwin Park,Baldwin Park,
51,41472,Maywood,Unincorporated - Bandini IsIands,Bandini Islands,
37,39491,Bassett,Unincorporated - Bassett,Bassett,
152,51891,Brentwood,Los Angeles - Bel Air,Bel Air,
52,36596,Bell,Bell,Bell,
56,67342,Bell Gardens,Bell Gardens,Bell Gardens,
59,76060,Bellflower,BeIlfIower,Bellflower,
152,51891,Brentwood,Los Angeles - Beverly Crest,Beverly Crest,
79,34652,Beverly Hills,Beverly Hills,Beverly Hills,
98,27910,Beverlywood,Los Angeles - Beverlywood,Beverlywood,
1,25745,Canyon Country,Unincorporated - Bouquet Canyon,Bouquet Canyon,
112,87247,Boyle Heights,Los Angeles - Boyle Heights,Boyle Heights,
15,37614,Monrovia,Unincorporated - Bradbury,,Bradbury
16,39704,Duarte,Bradbury,Bradbury,
152,51891,Brentwood,Los Angeles - Brentwood,Brentwood,
101,34069,Miracle Mile,Los Angeles - Brookside,Brookside,
9,104692,Burbank,Burbank,Burbank,
98,27910,Beverlywood,Los Angeles - Cadillac-Corning,Cadillac,
167,26051,Calabasas,CaIabasas,Calabasas,
162,63694,Canoga Park,Los Angeles - Canoga Park,Canoga Park,
1,25745,Canyon Country,Unincorporated - Canyon Country,Canyon Country,
65,118244,Carson,Carson,Carson,
100,27005,Park La Brea,Los Angeles - Carthay,Carthay,
2,28325,Castaic,Unincorporated - Castaic,Castaic,
110,39107,Central,Los Angeles - Central,Central,
97,28076,Century City,Los Angeles - Century City,Century City,
84,42829,Century Palms/Cove,Los Angeles - Century Palms/Cove,Century Palms/Cove,
60,66654,Cerritos,Cerritos,Cerritos,
23,29406,Covina-Charter Oak,Unincorporated - Charter Oak,Charter Oak,
160,36039,Chatsworth,Los Angeles - Chatsworth,Chatsworth,
97,28076,Century City,Los Angeles - Cheviot HiIIs,Cheviot Hills,
119,30710,Echo Park,Los Angeles - Chinatown,Chinatown,
21,36850,Claremont,Claremont,Claremont,
21,36850,Claremont,Unincorporated - Claremont,Claremont,
102,28768,Cloverdale/Cochran,Los Angeles - Cloverdale/Cochran,Cloverdale/Cochran,
51,41472,Maywood,Commerce,Commerce,
63,118259,Compton,Compton,Compton,
129,31829,Hancock Park,Los Angeles - Country Club Park,Country Club Park,
23,29406,Covina-Charter Oak,Unincorporated - Covina,,Covina
24,49131,Covina,Covina,Covina,
23,29406,Covina-Charter Oak,Unincorporated - Covina (Charter Oak),Covina (Charter Oak),
103,29977,Crenshaw District,Los Angeles - Crenshaw District,Crenshaw District,
99,25678,Crestview,Los Angeles - Crestview,Crestview,
56,67342,Bell Gardens,Cudahy,Cudahy,
77,56391,Culver City,Culver City,Culver City,
71,26864,El Segundo,Unincorporated - Del Aire,Del Aire,
92,27092,Playa Vista,Unincorporated - Del Rey,,Del Rey
93,29258,Del Rey,Los Angeles - Del Rey,Del Rey,
1,25745,Canyon Country,Unincorporated - Del Sur,Del Sur,
8,28809,Acton,Unincorporated - Desert View Highlands,Desert View Highlands,
41,57127,Diamond Bar,Diamond Bar,Diamond Bar,
50,113811,Downey,Downey,Downey,
120,27488,Downtown,Los Angeles - Downtown,Downtown,
16,39704,Duarte,Duarte,Duarte,
16,39704,Duarte,Unincorporated - Duarte,Duarte,
116,39175,Eagle Rock,Los Angeles - Eagle Rock,Eagle Rock,
19,34330,San Dimas,Unincorporated - East Covina,East Covina,
131,29790,East Hollywood,Los Angeles - East Hollywood,East Hollywood,
46,54602,La Mirada,Unincorporated - East La Mirada,East La Mirada,
5,169552,Lancaster,Unincorporated - East Lancaster,East Lancaster,
34,126985,East Los Angeles,Unincorporated - East Los Angeles,East Los Angeles,
12,174449,Pasadena,Unincorporated - East Pasadena,East Pasadena,
63,118259,Compton,Unincorporated - East Rancho Dominguez,East Rancho Dominguez,
47,63072,South Whittier,Unincorporated - East Whittier,East Whittier,
119,30710,Echo Park,Los Angeles - Echo Park,Echo Park,
73,42232,Lawndale,Unincorporated - El Camino Village,El Camino Village,
27,113725,El Monte,El Monte,El Monte,
71,26864,El Segundo,El Segundo,El Segundo,
114,45030,El Sereno,Los Angeles - El Sereno,El Sereno,
1,25745,Canyon Country,Unincorporated - Elizabeth Lake,Elizabeth Lake,
119,30710,Echo Park,Los Angeles - Elysian Park,Elysian Park,
156,42533,Encino,Los Angeles - Encino,Encino,
103,29977,Crenshaw District,Los Angeles - Exposition,Exposition,
107,45190,Exposition Park,Los Angeles - Exposition Park,Exposition Park,
99,25678,Crestview,Los Angeles - Faircrest Heights,Faircrest Heights,
84,42829,Century Palms/Cove,Los Angeles - Figueroa Park Square,Figueroa Park Square,
54,81770,Florence - Firestone,Unincorporated - Florence-Firestone,,Florence
74,60679,Gardena,Gardena,Gardena,
117,31385,Glassell Park,Los Angeles - Glassell Park,Glassell Park,
10,201605,Glendale,Glendale,Glendale,
18,52890,Glendora,GIendora,Glendora,
18,52890,Glendora,Unincorporated - GIendora,Glendora,
146,57975,Granada Hills,Los Angeles - Granada Hills,Granada Hills,
86,63401,Vermont Vista,Los Angeles - Green Meadows,Green Meadows,
43,54634,Hacienda Heights,Unincorporated - Hacienda Heights,Hacienda Heights,
129,31829,Hancock Park,Los Angeles - Hancock Park,Hancock Park,
82,31263,Harbor City,Los Angeles - Harbor City,Harbor City,
83,43700,Harbor Gateway,Los Angeles - Harbor Gateway,Harbor Gateway,
